text,retweet_count,favorite_count,is_retweet,date,score
I am currently at the United Nations representing our Country but have authorized the release tomorrow of the complete fully declassified and unredacted transcript of my phone conversation with President Zelensky of Ukraine,31697,137444,0,2019-09-25,361.92062768968805
of the tremendous ground we have lost to China on Trade since the ridiculous one sided formation of the WTO It will all happen and much faster than people think,15508,85117,0,2019-05-14,286.1938556417557
The New York Times did a phony story as usual about my relationship with VP Mike Pence They made up sources and refused to ask me the only one that would know for a quote,18296,78340,0,2018-11-17,342.7931579647107
RT WhiteHouse Public optimism in their personal economy has hit a 16year high under President TrumpThe job market doesnt get much,12914,0,0,2019-03-09,232.4689831173924
RT realDonaldTrump MAKE AMERICA GREAT AGAIN,81081,0,0,2020-06-09,102.55944865766033
Actually a great book by a great and highly respected historian Doug Wead ,9487,45653,0,2020-06-07,139.8847365830182
RT JohnWHuber When youre right youre right,7281,0,0,2020-05-24,120.18521787059268
Roger Stone has been treated very unfairly How about that jury Forewoman does anybody think that was fair DISGRACEFUL Stay tuned  FoxNews And guys like Low Ratings Psycho Joe Scarborough are allowed to walk the streets Open Cold Case,17075,60498,0,2020-05-20,419.9296287287865
1600 Pennsylvania Avenue the White House is the place I have come to love and will stay for hopefully another 5 years as we MAKE AMERICA GREAT AGAIN but my family and I will be making Palm Beach Florida our Permanent Residence I cherish New York and the people of,24152,112011,0,2019-11-01,497.1976024370379
RT GOP Compared to the President who actually has something to run onDemocrats know they can't win on the facts so they are trying,5983,0,0,2020-01-24,298.8656818925207
Trolling the Mueller Report Democrats Lost On Collusion Now Theyre Inventing A Coverup WSJopinion  James Freeman LouDobbs,14406,57825,0,2019-04-05,256.3930577361389
RT StevenTDennis Trump gets bump in latest Gallup Poll49 approval 6 tied for his best47 disapproval 7,12622,0,0,2020-05-01,210.76895052497926
Thank you to Harvard and all others ,8853,46614,0,2020-04-23,88.8432964360733
RT AMErikaNGIRLLL WATCHNew Jersey Public School Teacher Tells Students Playing soccerI hope you dieI hope you both get the Corona v,7649,0,0,2020-05-23,254.16061491310722
RT WhiteHouse Under my Administration we will never surrender American sovereignty to anyone We will never allow foreign bureaucrats t,16596,0,0,2019-04-27,204.2467816875181
Another totally Fake story in the Amazon Washington Post lobbyist which states that if my Aides broke the law to build the Wall which is going up rapidly I would give them a Pardon This was made up by the Washington Post only in order to demean and disparage  FAKE NEWS,20220,79380,0,2019-08-29,490.36873445018654
RT CurtisVincent5 dbongino This firefighter wont be voting for creepy JoeBiden,2406,0,0,2019-05-01,180.77226816764568
RT JackPosobiec Reminder Ted Wheeler rejected President Trumps officer for federal assistance in Portland,7364,0,0,2020-08-30,171.48778054678974
RT ARmastrangelo The Left uses the US Constitution to DESTROY the US ConstitutionThe Democrats are the ANTITHESIS of what it means,12562,0,1,2019-12-19,263.28206668120544
RT realDonaldTrump ,15648,0,0,2019-10-06,70.83834231448806
RT JennaEllisEsq THREAD So I didnt get to finish comments w/ edhenry today due to the breaking news but here are the two main points,6710,0,1,2019-12-08,315.6251850324153
Thank you Ari ,12734,69372,0,2019-07-08,47.21987181611695
Fake News is truly the ENEMY OF THE PEOPLE,46042,172399,0,2019-01-19,104.01989986660236
Jeff you had your chance amp you blew it Recused yourself ON DAY ONE you never told me of a problem and ran for the hills You had no courage amp ruined many lives The dirty cops amp others got caught by better amp stronger people than you Hopefully this slime will pay a big ,13816,51276,0,2020-05-23,505.32204374190707
RT RobertCahaly Doubt what we trafalgargroup say about MI Elections2020 at your own peril History is not on your side ,3117,0,0,2020-08-30,274.97853701130333
facts and that should terrify every American regardless of their political stripe The idea that all of that information hasnt already been revealed shows how dastardly these people are and how terrified they are about whats going to happen when that,13756,58987,0,2019-09-05,435.44200049709355
Off to North Carolina ,9223,60993,0,2020-02-07,57.45453268865113
Today FLOTUS Melania and I were honored to welcome members of Team USA to the WhiteHouse for a great celebration of their success during the 2019 SpecialOlympics WorldGamesAD Congratulations specialolyUSA Cheer4USA ,23234,109728,0,2019-07-19,414.53057114628626
RT CLewandowski Thank you realDonaldTrump We will deliver NH for you in 2020 and you WILL NEVER GET TIRED OF WINNING ,9336,0,0,2020-01-02,251.8361525115278
RT TomFitton Schiff knew Comey knew Obama knew Susan Rice knew Biden knew Brennan knew Clapper knew Peter Strzok kne,20537,0,0,2019-05-12,248.48500683799466
RT FranklinGraham Pray for residents of Nashville and Middle Tennessee who were in the path of powerful tornadoes that struck early this,10693,0,0,2020-03-03,243.9111372246865
RT realDonaldTrump Please watch highly respected Dr Harvey Risch of Yale on Hydroxychloroquine ,52882,0,0,2020-08-25,215.0383551354864
Democrats are blocking a 251 Million Dollar funding boost for Small Businesses which will help them keep their employees It should be for only that reason with no additions We should have a big Infrastructure Phase Four with Payroll Tax Cuts amp more Big Economic Bounceback,3302,11811,0,2020-04-10,430.12625061638477
RT DevinNunes FBI's Steele story falls apart False intel and media contacts were flagged before FISA  jsolomonReports  ,10659,0,0,2019-05-11,279.33643332936776
If the Democrats had won the Election in 2016 GDP which was about 1 and going down would have been minus 4 instead of up 42 I opened up our beautiful economic engine with Regulation and Tax Cuts Our system was choking and would have been made worse Still plenty to do,15995,65807,0,2018-09-10,480.3987435343389
RT SebRougemont There are only a few real battleground states in the country New Hampshire is one of those and it's a place where we k,4435,0,0,2020-06-28,317.8026914095697
The reason that the small truck business in the US is such a go to favorite is that for many years Tariffs of 25 have been put on small trucks coming into our country It is called the chicken tax If we did that with cars coming in many more cars would be built here,17319,71225,0,2018-11-28,533.1235836433546
This Witch Hunt should never have begun ,13752,47002,0,2020-06-04,78.86935707025972
