"text","retweet_count","favorite_count","is_retweet","date"
"RT USRepLong I am proud to stand with my colleagues to demand transparency during this impeachment inquiry Rep Schiff has demonstrate",7991,0,"0",2019-10-22
"CONGRATULATIONS to EricTrump and LaraLeaTrump on the great news So proud",11867,74624,"0",2019-04-11
"RT SenJohnThune We're all hearing a lot in the news on social media and in conversations about social distancing Heres a good expla",2649,0,"0",2020-03-20
"RT JesseBWatters The hoax is OVER It's done They tried and failed They didn't have one witness to testify that President realdonaldtr",23252,0,"1",2019-11-22
"RT WhiteHouse LIVE President realDonaldTrump unveils plan for peace agreement ",11387,0,"0",2020-01-29
"RT TheEconomist Should Germany choose to ban Huawei in the autumn a corner will have been turned America will have used its might to hu",5269,0,"0",2020-07-17
"RT ChuckGrassley Waiting to brief President Trump on Iowas derecho devastation  Cedar Rapids Iowa ",3613,0,"0",2020-08-19
"He is arguably the greatest president in our history Thank you LouDobbs ",18260,71573,"0",2020-05-28
"RT realDonaldTrump ",26470,0,"0",2019-10-08
"Thank you Gavin Team is doing a great job ",12030,52759,"0",2020-03-11
"I am fighting the Fake Corrupt News the Deep State the Democrats and the few remaining Republicans In Name Only RINOS who are on mouth to mouth resuscitation with the help of some truly great Republicans and others We are Winning big 150th Federal Judge this week",25734,100451,"0",2019-09-15
"Great honor I think  Mark Zuckerberg recently stated that Donald J Trump is Number 1 on Facebook Number 2 is Prime Minister Modi of India Actually I am going to India in two weeks Looking forward to it",29412,162241,"0",2020-02-15
"Iran never won a war but never lost a negotiation",65098,331171,"0",2020-01-03
