text,retweet_count,favorite_count,is_retweet,date,score
Remember when Pelosi was screaming that President Trump is a danger to our nation and we must move quickly They didnt get one Republican House vote and lost 3 Dems They produced no case so now she doesnt want to go to the Senate Shes all lies Most overrated person I know,31620,136918,0,2019-12-31,10.6602125
as to whether they want help in taking back Seattle Ready to move quickly Damage to various Democrat run Cities amp States including statue demolition should not be allowed to happen Ready to solve problem quickly Federal Government is Ready Willing amp AbleTuckerCarlson,15805,70872,0,2020-06-20,10.484783
There is no political necessity to keep Canada in the new NAFTA deal If we dont make a fair deal for the US after decade of abuse Canada will be out Congress should not interfere with these negotiations or I will simply terminate NAFTA entirely amp we will be far better off,916,2954,0,2018-09-01,10.308964
RT SenateGOP You do not advance peace by committing assault You do not advance justice by inflicting injustice upon your neighbors,3671,0,0,2020-06-05,10.961548
So Obama and his team of lowlifes spied on my campaign and got caught  Open and shut case More papers released today which are devastating to them Will they ever pay the price The political Crime of the Century,75831,303833,0,2020-07-25,10.639139
RT WhiteHouse President Trump Signs HR 1327 ,8008,0,0,2019-07-29,10.452044
MAKE AMERICA GREAT AGAIN ,32191,105558,0,2019-04-10,11.06742
The Philadelphia shooter should never have been allowed to be on the streets He had a long and very dangerous criminal record Looked like he was having a good time after his capture and after wounding so many police Long sentence  must get much tougher on street crime,18225,78463,0,2019-08-15,9.366245
If the Wall Street Journal Editorial writers had called as they should have they would have easily found that I was NOT happy with the Georgia Governor on Tuesday night You said the opposite and got it wrong as you often do,23289,112043,0,2020-04-25,10.68091
RT DanScavino More overflow tonight WOW TrumpMinneapolis KAG2020 ,4190,0,0,2019-10-11,10.239381
RT RepJeffDuncan None of what Democrats said happened on the call between realDonaldTrump amp Ukrainian President Zelensky was true No qu,14819,0,0,2019-09-26,9.864283
RT dbongino What the hell is this  ,17391,0,1,2018-11-28,10.7901125
RT FrancisBrennan Biden staff donate to group that pays bail in riottorn Minneapolis ,6063,0,0,2020-06-02,9.704136
The Fake News Media is being laughed at all over the world ,13991,52628,0,2020-07-04,9.140272
The CDCgov has published guidelines on to enable every American to respond to this epidemic and to protect themselves their families and their communities,16453,57936,0,2020-03-14,9.951968
